group,x
1,-1.22047509033765
1,-5.07152209908727
1,-0.775508614360546
1,0.359036531953284
1,2.2325190103851
1,-0.647827461970611
1,-0.0267447289515289
1,1.04740615740577
1,1.23344966600909
1,2.18928062998349
1,-1.76929142069431
1,1.09798348089483
1,-1.16072234183929
1,0.209598750230193
1,2.60744150299965
1,-1.01074274401108
1,3.06658907310087
1,-0.0832831021197703
1,-1.15477803875401
1,1.36996882900553
1,-2.00466194922244
1,-0.908716051681311
1,-0.692154109565107
1,-1.74549263361941
1,1.26238285970388
1,1.95202917050273
1,-1.31681866540323
1,1.56634039862366
1,-2.05200507606417
1,1.11183013544585
1,-1.71417113825179
1,-1.72458565235038
1,2.0836753672974
1,-0.816144119073672
1,-2.34485200756218
1,0.0950138597231921
1,-1.99359819946963
1,-3.68762715118138
1,-0.64660375807085
1,-3.48136327643574
1,-0.317674067010553
1,-4.79046889936514
1,-1.53736260015247
1,-0.705487116656299
1,-0.67777328583613
1,0.163926780833054
1,-2.41168101643116
1,0.281709568716992
1,0.347105329131438
1,-1.41835390636686
2,10.5805107480566
2,8.18611802338351
2,7.9251283557791
2,7.01390864654561
2,5.13643305636201
2,6.14147014638302
2,6.39899753201045
2,7.2525959944054
2,6.1921564083034
2,7.22050361430965
2,7.80694148979685
2,6.67883836703413
2,5.72720570430707
2,7.15048480081434
2,7.3753331207171
2,5.57966740706545
2,8.20217080653454
2,6.95910317130773
2,6.30308662140769
2,6.5406998896249
2,7.91976268377009
2,7.00050390667331
2,6.87261740814961
2,6.33331895158524
2,7.30294877653328
2,5.96650459006745
2,7.20372745907883
2,10.4088060246454
2,6.9274863503247
2,6.37746843410477
2,7.80460222061835
2,6.27319263890255
2,6.37856361363872
2,6.75328343662851
2,6.87044437209848
2,7.21946469244816
2,7.49865197553467
2,7.10205904325647
2,6.09422542312077
2,6.66558150945161
2,6.71428949285534
2,6.69898850908252
2,8.3820376278407
2,9.38201879431996
2,6.39229205137887
2,7.07282469075195
2,7.43269086976885
2,8.33866600612218
2,7.1883719841018
2,6.85249253634605
